UMAP_1 UMAP_2
G2M_G2M_cell25_count 0.0835017786834513 0.00528574698855266
G2M_G2M_cell26_count -0.0600897721438277 -0.028359781199948
G2M_G2M_cell27_count 0.0510698194164861 -0.00478326237174108
G2M_G2M_cell28_count 0.0977781928329365 0.00237338105336313
G2M_G2M_cell29_count 0.0365404005019338 -0.0112935065468536
G2M_G2M_cell30_count -0.0481816593007017 -0.0244617539159012
G2M_G2M_cell31_count -0.0327402112628342 -0.00334421034434218
G2M_G2M_cell32_count 0.0915459218576824 0.00449584642699256
G2M_G2M_cell33_count 0.072165891525267 -0.00120244931916512
G2M_G2M_cell34_count 0.0970301936095147 0.00184565633217396
G2M_G2M_cell35_count 0.0488593318752311 -0.00242558476199606
G2M_G2M_cell36_count 0.0685166546972017 0.00166986008430653
G2M_G2M_cell37_count 0.0648656066989108 0.00299633816799015
G2M_G2M_cell38_count 0.0819281724775904 2.18640081921638e-05
G2M_G2M_cell39_count 0.0613990216580813 -0.000774391965344375
G2M_G2M_cell40_count 0.091009516586556 0.00156120409685422
G2M_G2M_cell41_count 0.081787152680837 0.00388193027756157
G2M_G2M_cell42_count 0.0726355624156172 0.00397086472459332
G2M_G2M_cell43_count 0.0893220739801787 0.00234402229802345
G2M_G2M_cell44_count 0.0845083988725245 0.0029723212023884
G2M_G2M_cell45_count 0.0526961912112422 0.00638275786693538
G2M_G2M_cell46_count 0.013975299238492 0.00157854811670683
G2M_G2M_cell47_count -0.00837270167592486 -0.000584040133251027
G2M_G2M_cell48_count 0.0325095662362523 0.00798594648327715
G2M_G2M_cell49_count 0.0786273907804273 0.00594344212110306
G2M_G2M_cell50_count 0.0337145216609844 0.0033716160081856
G2M_G2M_cell51_count 0.0893159773734931 0.00121966293212653
G2M_G2M_cell52_count 0.075363058668843 0.00154100694139198
G2M_G2M_cell53_count 0.0932507678455332 0.00139174253857013
G2M_G2M_cell54_count 0.0817890060659431 0.000456660221825266
G2M_G2M_cell55_count 0.0654577690773468 0.00327129654552
G2M_G2M_cell56_count 0.0826345427720422 0.00311246183913286
G2M_G2M_cell57_count 0.0736708861164905 0.00472471288808304
G2M_G2M_cell58_count 0.0731886139282123 -0.000686704240837554
G2M_G2M_cell59_count 0.0297041747388224 0.011290103096044
G2M_G2M_cell60_count 0.0905707324012198 0.00336608941176373
G2M_G2M_cell61_count 0.0310682627691701 0.00191757227760925
G2M_G2M_cell62_count 0.069853687666294 0.0052801821502065
G2M_G2M_cell63_count 0.0585360253122322 0.00312852279774379
G2M_G2M_cell64_count -0.0199902334176209 -0.00397964457454732
G2M_G2M_cell65_count 0.094542790824736 0.00265743157379835
G2M_G2M_cell66_count 0.0901368195928094 0.000863970374177287
G2M_G2M_cell67_count -0.049493631945268 -0.0220626807346195
G2M_G2M_cell68_count 0.0888461968554937 0.0018854055759087
G2M_G2M_cell69_count 0.0378841574802332 0.0111166718575293
G2M_G2M_cell70_count -0.0495700087551283 -0.0202221312939545
G2M_G2M_cell71_count 0.0680217315843051 0.00590780866885796
G2M_G2M_cell72_count 0.0893940706882192 -0.00100838123658899
G2M_G2M_cell73_count 0.0959681216868003 0.00235783775246547
G2M_G2M_cell74_count 0.0750374114075205 0.0040108888282586
G2M_G2M_cell75_count 0.0683269919307005 -0.0029719009588203
G2M_G2M_cell76_count 0.074468727315293 0.00400744082828902
G2M_G2M_cell77_count 0.0120804222755134 -0.000109240766582581
G2M_G2M_cell78_count 0.0767030695667775 0.00290166253601775
G2M_G2M_cell79_count 0.0928963072648532 0.00384328781213022
G2M_G2M_cell80_count 0.0630523806028324 0.000773645153163803
G2M_G2M_cell81_count 0.0958270431083012 0.000758374102942955
G2M_G2M_cell82_count -0.0551517707170759 -0.0273852119156712
G2M_G2M_cell83_count 0.059323923184308 -0.000844277643838559
G2M_G2M_cell84_count 0.0848575928398434 0.00550399778074871
G2M_G2M_cell85_count 0.0781920084405468 0.0015557067557869
G2M_G2M_cell86_count 0.0320625447720546 0.00068631749886007
G2M_G2M_cell87_count 0.0784876775272455 0.00143458442352234
G2M_G2M_cell88_count 0.0908641659528759 0.00312029317927016
G2M_G2M_cell89_count 0.0934550627281996 0.00239193239326651
G2M_G2M_cell90_count 0.0914322653895668 0.00281493480820794
G2M_G2M_cell91_count 0.0872732237619305 0.00469926914478953
G2M_G2M_cell92_count 0.0954043852789242 0.00258968048414804
G2M_G2M_cell93_count 0.0965492922509905 0.00168592224470552
G2M_G2M_cell94_count 0.0785918815705649 0.00196381432090056
G2M_G2M_cell95_count 0.0122001215967236 -0.00653711358475347
G2M_G2M_cell96_count 0.0385786587518632 0.00952086115393827
S_S_cell2_count -0.0338184685995201 0.0423328670822027
S_S_cell3_count -0.0404626542081879 0.0321083793479338
S_S_cell4_count -0.0342358774293319 0.0366073552623351
S_S_cell6_count -0.0285376376555306 0.0249982966052708
S_S_cell7_count -0.0392746956330948 0.0267806980843116
S_S_cell8_count -0.0402368067460497 0.0428998256837923
S_S_cell9_count -0.0284839788667832 0.022610852386696
S_S_cell10_count -0.0359536678832061 0.026607534723602
S_S_cell11_count -0.0342718976034702 0.0390019508058354
S_S_cell12_count -0.0334882726621961 0.0352755950011482
S_S_cell13_count -0.0418415210067381 0.047882442710076
S_S_cell14_count -0.0497797434541835 0.014355238732572
S_S_cell15_count -0.0370106375047938 0.0400505139750194
S_S_cell16_count -0.0437040356576571 0.0478678792045119
S_S_cell17_count -0.0434879852141632 0.0455483058209166
S_S_cell19_count -0.0425818504580264 0.0444229928616124
S_S_cell20_count -0.018429361235383 0.0326149525330436
S_S_cell21_count -0.0344676919744214 0.0422126711624915
S_S_cell22_count -0.0414649073011977 0.0340216112806366
S_S_cell23_count -0.0273215615222064 0.0296633995369844
S_S_cell24_count -0.0361223783347609 0.0427531200325411
S_S_cell25_count -0.0423645523797924 0.0351466897704787
S_S_cell26_count -0.0401579674901137 0.0404166378055136
S_S_cell27_count -0.0364931405194975 0.0405993343087885
S_S_cell28_count -0.0396483668075902 0.0450077529810629
S_S_cell29_count -0.0311541551010565 0.0371506122506608
S_S_cell30_count -0.0446990507541208 0.0281227008926357
S_S_cell32_count -0.0352664865960246 0.0341253730088442
S_S_cell33_count -0.0226483266080917 0.0217260248596969
S_S_cell34_count -0.060094625313327 -0.0209060735136078
S_S_cell35_count -0.0338955965563349 0.0328520618519085
S_S_cell36_count -0.0523475744153719 -0.0060038953182762
S_S_cell37_count -0.0412325569050284 0.0416705220585268
S_S_cell38_count -0.0192067506565084 0.0319037891189047
S_S_cell39_count -0.0350698537878484 0.0434959163137369
S_S_cell40_count -0.041783334276326 0.0444485753615045
S_S_cell41_count -0.0350461556387613 0.0227945518103964
S_S_cell42_count -0.0367924344312169 0.0386431355717334
S_S_cell43_count -0.0390264643776484 0.0435277401614649
S_S_cell45_count -0.0422164793893409 0.0336781989460891
S_S_cell46_count -0.050421776573128 0.0245518525806658
S_S_cell47_count -0.0365957055296278 0.0331691356261244
S_S_cell48_count -0.0278884401610992 0.0376780687648193
